"EID","BTEID","IFHOME","BTBL","BTYEAR","BTENDYEAR"
"p17402","s102046","0","0.343","2012",""
"p89336","s140778","0","1","2012",""
"p142507","s62517","0","1","2011",""
"p218390","s305106","0","0.8","2015",""
"p134285","s425895","0","0.011","2014",""
"p101545","s437754","0","1","2015",""
"p17402","s107413","0","0.25","2015",""
"p144466","s80568","0","0.63","1999",""
"p150675","s521154","0","0.2","2013",""
"p60187","s343826","0","0.5","2014",""
"p228756","s23819","0","0.51","2007",""
"p24806","s155434","0","0.8","2006",""
"p75009","s150143","0","0.55","2015",""
"p157346","s249252","0","0.09","2015",""
"p132897","s442871","0","0.013","2012",""
"p185920","s449650","0","1","1996",""
"p117618","s223107","0","0.2","1998",""
"p177842","s327136","0","1","2014",""
"p89336","s289259","0","1","2012",""
"p56705","s525363","0","0.058","2012",""
"p159372","s358702","0","0.04","2014",""
"p92288","s468208","0","0.074","2005",""
"p40019","s410398","0","0.25","2015",""
"p132897","s513752","0","0.067","2013",""
"p137503","s336245","0","0.5","2013",""
"p69153","s176163","0","1","2010",""
"p115225","s476217","0","0.23","2000",""
"p85952","s247425","0","0.3","1994",""
"p181313","s400027","0","0.909","2015",""
"p155878","s402724","0","0.333","2015",""
"p218390","s338108","0","0.8","2014",""
"p17572","s362896","0","0.192","2006",""
"p21550","s160769","0","0.084","2006",""
"p183584","s186007","0","1","2003",""
"p39864","s56464","0","0.087","2011",""
"p196776","s239574","0","0.5","1993",""
"p34335","s47982","0","0.9","2014",""
"p214417","s54169","0","0.024","2010",""
"p116759","s16503","0","0.25","2015",""
"p143725","s182472","0","0.51","2010",""
"p50157","s14823","0","0.153","2015",""
"p178743","s234878","0","0.35","2014",""
"p104241","s507712","0","0.15","2015",""
"p34335","s41162","0","1","2014",""
"p227321","s248964","0","1","1998",""
"p96236","s403392","0","0.02","2014",""
"p142331","s387104","0","1","2014",""
"p46163","s247477","0","0.003","2015",""
"p42955","s280722","0","0.7","2011",""
"p30536","s392526","0","1","2013",""
"p215798","s161230","0","0.837","2012",""
"p225076","s424318","0","1","2015",""
"p117618","s349198","0","0.07","2005",""
"p151350","s523071","0","1","2010",""
"p16230","s347394","0","0.15","2011",""
"p50157","s359005","0","1","2013",""
"p162445","s327365","0","1","2008",""
"p8539","s150800","0","0.071","2015",""
"p117618","s317968","0","0.5","2005",""
"p89407","s283992","0","1","2007",""
"p226686","s196773","0","0.081","2004",""
"p181954","s222020","0","1","2007",""
"p85661","s332881","0","0.49","2015",""
"p146544","s2229","0","1","2014",""
"p26085","s21910","0","0.51","2015",""
"p27301","s156604","0","1","2011",""
"p186605","s363808","0","1","2010",""
"p102839","s383812","0","0.029","2010",""
"p58469","s185414","0","1","2009",""
"p228728","s324935","0","1","2008",""
"p221290","s142148","0","0.5","2008",""
"p46163","s7151","0","0.004","2015",""
"p197894","s209464","0","0.04","2015",""
"p127013","s375486","0","0.06","2009",""
"p28515","s197684","0","1","2015",""
"p102839","s79388","0","0.047","2008",""
"p104975","s55169","0","0.7","2015",""
"p29059","s316275","0","0.333","2014",""
"p183584","s299420","0","0.187","2012",""
"p183584","s107488","0","1","2014",""
"p19383","s427458","0","0.05","2003",""
"p95248","s149150","0","0.51","2014",""
"p145103","s9536","0","0.2","2012",""
"p25379","s388628","0","0.7","2012",""
"p45253","s277035","0","0.49","2011",""
"p132897","s31202","0","0.014","2015",""
"p207265","s372733","0","0.75","2014",""
"p224388","s191145","0","0.024","2004",""
"p8414","s203378","0","0.05","2010",""
"p45404","s71705","0","0.455","2014",""
"p216680","s53195","0","0.018","2000",""
"p162174","s85900","0","0.045","2009",""
"p5343","s57616","0","0.1","2015",""
"p89336","s409552","0","0.9","2006",""
"p71973","s387144","0","1","2010",""
"p210801","s501551","0","0.4","2014",""
"p115225","s61801","0","0.27","2003",""
"p167707","s404511","0","0.27","2015",""
"p40624","s40781","0","0.05","2014",""
"p218704","s340406","0","0.026","2012",""
"p105802","s30706","0","0.333","2002",""
"p181784","s328038","0","0.6","1997",""
"p73420","s367340","0","1","2013",""
"p190426","s314596","0","0.15","2013",""
"p136398","s498562","0","0.106","1999",""
"p112619","s498562","0","0.108","1999",""
"p132116","s487693","0","1","2003",""
"p187354","s427939","0","0.16","2008",""
"p13989","s409063","0","1","2001",""
"p91145","s377780","0","0.54","2010",""
"p127637","s390966","0","0.5","1997",""
"p218483","s456184","0","0.471","2007",""
"p106831","s225040","0","1","2008",""
"p226686","s119475","0","0.1","2015",""
"p57436","s149023","0","0.143","2015",""
"p169318","s330633","0","0.049","1996",""
"p20778","s65062","0","0.013","2005",""
"p114353","s467050","0","0.4","2011",""
"p224996","s136000","0","0.02","2001",""
"p167581","s520247","0","0.25","2014",""
"p131178","s196867","0","0.7","2008",""
"p58469","s411384","0","0.7","2009",""
"p207367","s270628","0","0.49","2015",""
"p130091","s75750","0","0.196","2015",""
"p97649","s186127","0","1","2010",""
