"EID","TYPECODE","DJDATE","IFHOME"
"s172273","3156047","2013-11","1"
"s172273","4006392","2014-01","0"
"s172273","4833051","2014-12","1"
"s138582","4510345","2014-09","0"
"s372279","4636040","2014-10","0"
"s372279","4006095","2014-01","0"
"s11198","3984451","2014-01","0"
"s27847","4350599","2014-07","0"
"s506176","3068317","2013-10","1"
"s464937","4192469","2014-05","1"
"s209430","5019449","2015-02","1"
"s237658","5679446","2015-08","0"
"s237658","5773414","2015-08","0"
"s150432","4935068","2015-01","1"
"s150432","4249537","2014-06","0"
"s446280","3149388","2013-11","0"
"s446280","3138950","2013-11","0"
"s446280","5497572","2015-07","0"
"s415563","4906934","2015-01","1"
"s94607","4170338","2014-05","1"
"s94607","4177882","2014-05","1"
"s31283","5772055","2015-08","0"
"s207331","3032393","2013-09","0"
"s207331","4528526","2014-09","0"
"s207331","4510734","2014-09","0"
"s50183","4517423","2014-09","1"
"s331109","4198794","2014-05","1"
"s189447","5193727","2015-04","1"
"s103417","4842975","2014-12","1"
"s80355","4880503","2014-12","1"
"s112571","3976995","2014-01","1"
"s112571","4564322","2014-09","1"
"s7239","5241857","2015-04","1"
"s7239","5494442","2015-07","1"
"s7239","5494563","2015-07","1"
"s144455","3072780","2013-10","1"
"s23725","4673678","2014-10","0"
"s23725","4813298","2014-12","0"
"s156892","4366650","2014-07","1"
"s299444","5665671","2015-08","0"
"s288217","4400592","2014-07","1"
"s288217","4210945","2014-05","1"
"s288217","4340957","2014-07","1"
"s288217","4198768","2014-05","1"
"s288217","4312168","2014-07","1"
"s288217","4205181","2014-05","1"
"s288217","4307593","2014-07","1"
"s288217","4261740","2014-06","1"
"s288217","4309504","2014-07","1"
"s288217","4198385","2014-05","1"
"s288217","4321736","2014-07","1"
"s288217","4374254","2014-07","1"
"s288217","4327400","2014-07","1"
"s288217","4199021","2014-05","0"
"s288217","4151449","2014-05","1"
"s288217","4309699","2014-07","1"
"s2687","5253039","2015-05","0"
"s414139","3980214","2014-01","0"
"s414139","4306801","2014-07","0"
"s414139","4823450","2014-12","0"
"s414139","4392632","2014-07","0"
"s414139","4533490","2014-09","0"
"s414139","3974642","2014-01","0"
"s80227","3210226","2013-12","0"
"s80227","4338161","2014-07","0"
"s80227","5506723","2015-07","0"
"s261907","3103911","2013-11","0"
"s352253","5574724","2015-07","1"
"s352253","4538185","2014-09","1"
"s352253","5708053","2015-08","1"
"s352253","5001047","2015-02","1"
"s352253","4779819","2014-11","1"
"s512006","5355420","2015-05","1"
"s487948","4642050","2014-10","1"
"s138181","3182353","2013-12","0"
"s138181","4613943","2014-10","1"
"s138181","4367589","2014-07","0"
"s454097","3243232","2013-12","1"
"s454097","3243558","2013-12","1"
"s454097","4658056","2014-10","1"
"s454097","5380397","2015-06","1"
"s454097","5135355","2015-03","1"
"s454097","4205482","2014-04","1"
"s454097","4877762","2014-12","1"
"s454097","5548666","2015-07","1"
"s454097","5149739","2015-04","1"
"s454097","4825570","2014-12","1"
"s454097","4025716","2014-02","1"
"s454097","5314758","2015-05","1"
"s322178","5440076","2015-06","1"
"s390918","4073175","2014-03","0"
"s374779","5492855","2015-07","1"
"s284846","3207067","2013-12","1"
"s284846","4018072","2014-02","0"
"s284846","4394488","2014-07","0"
"s284846","5513872","2015-07","0"
"s317666","5355479","2015-05","0"
"s387337","4827746","2014-12","1"
"s344226","3080358","2013-10","1"
"s385513","5339474","2015-05","0"
"s146532","4194403","2014-05","1"
"s503653","4700339","2014-11","0"
"s503653","5273397","2015-05","0"
"s223370","3240313","2013-12","0"
"s223370","3101301","2013-11","0"
"s223370","4617552","2014-10","0"
"s223370","4134646","2014-04","0"
"s223370","4601740","2014-09","0"
"s223370","3101301","2013-11","0"
"s223370","3240313","2013-12","0"
"s223370","4134646","2014-04","0"
"s223370","4617552","2014-10","0"
"s223370","4601740","2014-09","0"
"s316572","4510682","2014-09","0"
"s316572","3976316","2014-01","0"
