"EID","TYPECODE","LAWDATE","LAWAMOUNT"
"p155","107760058","2015年08月","0"
"p155","102314636","2015年05月","0"
"p293","110135120","2015年08月","11400"
"p293","105635464","2015年08月","15800"
"p293","78284856","2014年01月","34000"
"p293","85369661","2014年01月","34000"
"p293","77996859","2014年01月","34000"
"p293","72630399","2013年12月","19000"
"p342","13910277","2014年07月","171600"
"p342","93353097","2014年07月","171600"
"p342","93353101","2014年07月","119100"
"p354","74644787","2012年11月","18300"
"p494","101032010","2015年04月","8800"
"p494","74796086","2013年09月","68000"
"p494","74793086","2013年06月","1900"
"p494","113213507","2015年04月","8800"
"p559","97909249","2015年02月","20000"
"p559","97739966","2015年01月","137700"
"p587","110485751","2015年08月","28000"
"p587","106590233","2015年08月","28000"
"p628","109142579","2015年06月","36100"
"p636","106036378","2015年06月","107700"
"p651","60448349","2013年01月","4900"
"p706","107754949","2014年12月","2834800"
"p706","95961327","2014年12月","2834800"
"p786","88731249","2014年10月","10100"
"p828","98947431","2014年12月","5691000"
"p828","106604776","2015年06月","4777600"
"p841","100545566","2015年04月","2133400"
"p841","105444748","2015年04月","2133400"
"p841","101581629","2015年05月","4189400"
"p864","80697701","2013年05月","278300"
"p901","79998437","2014年05月","37900"
"p915","82355682","2014年06月","43200"
"p1244","109136754","2015年07月","6600"
"p1244","104536749","2015年07月","6600"
"p1260","65163306","2013年05月","12700"
"p1260","65163691","2013年05月","12700"
"p1260","65164472","2013年05月","9300"
"p1260","65164059","2013年05月","10700"
"p1260","65164250","2013年05月","8700"
"p1260","65165252","2013年05月","11400"
"p1260","65705354","2013年06月","13200"
"p1260","65162824","2013年05月","7700"
"p1359","102482425","2015年04月","143800"
"p1359","102482427","2015年04月","688800"
"p1359","110674833","2015年04月","143800"
"p1359","69277086","2012年12月","45700"
"p1359","62883674","2012年12月","221000"
"p1359","43383181","2012年11月","73200"
"p1359","60021256","2012年12月","221000"
"p1359","87326674","2014年02月","3803400"
"p1359","113077885","2015年04月","143800"
"p1359","100554707","2015年04月","143800"
"p1359","81982235","2014年07月","7700"
"p1359","76099032","2014年03月","143100"
"p1359","98284494","2015年03月","491800"
"p1359","103907607","2015年07月","105000"
"p1359","70933817","2013年11月","510000"
"p1359","113077904","2015年04月","688800"
"p1359","100554715","2015年04月","688800"
"p1359","75524648","2014年02月","3803400"
"p1359","69277090","2012年12月","22600"
"p1512","87616110","2014年07月","52100"
"p1590","68634254","2013年05月","45100"
"p1594","71843832","2013年12月","0"
"p1594","74033465","2014年01月","0"
"p1594","87956190","2014年10月","33200"
"p1630","98348964","2015年01月","80000"
"p1630","98348946","2015年01月","60000"
"p1700","81816506","2014年01月","4400"
"p1700","77818261","2014年01月","4400"
"p1700","101003031","2015年04月","6000"
"p1737","95423271","2013年12月","33300"
"p1737","77896488","2013年12月","33300"
"p1737","77896491","2013年12月","17900"
"p1737","77896497","2013年12月","15600"
"p1737","77896494","2013年12月","19200"
"p1859","106002630","2015年06月","348100"
"p1859","108756681","2015年06月","348100"
"p1917","72137297","2013年05月","12400"
"p1917","72134037","2013年05月","7300"
"p2022","101009695","2015年04月","200"
"p2055","42442659","2012年09月","22100"
"p2188","102044783","2014年01月","12200"
"p2188","77916078","2014年01月","12200"
"p2214","77752906","2014年02月","562300"
"p2214","81229247","2014年02月","562300"
