"EID","TYPECODE","FBDATE","SXENDDATE"
"p293","432341","2014年08月",""
"p342","82982060","2014年08月",""
"p342","312751","2014年08月",""
"p816","98741001","2015年03月",""
"p816","1349372","2015年03月",""
"p825","98949341","2015年05月",""
"p825","1627918","2015年05月",""
"p845","724299","2014年11月","2015-07"
"p1096","60556535","2014年10月",""
"p1096","64318506","2014年10月",""
"p1096","60555872","2014年10月",""
"p1096","60561735","2014年10月",""
"p1096","60561806","2014年10月",""
"p1096","60556474","2014年10月",""
"p1096","60561542","2014年10月",""
"p1096","60561606","2014年10月",""
"p1096","60561483","2014年10月",""
"p1096","60561680","2014年10月",""
"p1096","60556035","2014年10月",""
"p1096","42401939","2013年10月",""
"p1096","16065","2013年10月",""
"p1096","538288","2014年10月",""
"p1096","565851","2014年10月",""
"p1096","566131","2014年10月",""
"p1096","566895","2014年10月",""
"p1096","567197","2014年10月",""
"p1096","567098","2014年10月",""
"p1096","566970","2014年10月",""
"p1096","567265","2014年10月",""
"p1096","565968","2014年10月",""
"p1096","566588","2014年10月",""
"p1096","565448","2014年10月",""
"p1301","1265656","2015年03月","2015-07"
"p1527","100451766","2015年08月",""
"p1527","2212852","2015年08月",""
"p2598","915918","2014年12月","2015-07"
"p3161","1861846","2015年06月",""
"p4707","72367595","2014年12月",""
"p4707","727119","2014年12月",""
"p4808","103551162","2015年08月",""
"p4808","2282109","2015年08月",""
"p5628","1199124","2015年03月",""
"p6491","100552989","2015年08月",""
"p6491","2169125","2015年08月",""
"p6699","88838003","2015年01月",""
"p6699","1041394","2015年01月",""
"p7735","33768876","2013年10月",""
"p7735","29072","2013年10月",""
"p8435","66673402","2013年10月",""
"p8435","27058","2013年10月",""
"p9737","31411174","2015年05月",""
"p9737","1682877","2015年05月",""
"p11420","12554692","2015年08月",""
"p11420","2320588","2015年08月",""
"p11508","92473066","2015年04月",""
"p11508","1418445","2015年04月",""
"p11551","62606391","2013年10月",""
"p11551","31867","2013年10月",""
"p11643","12310775","2015年01月",""
"p11643","996558","2015年01月",""
"p11822","66640445","2013年10月",""
"p11822","27431","2013年10月",""
"p12089","943259","2014年12月",""
"p12306","67014430","2013年10月",""
"p12306","67014430","2013年10月",""
"p12306","72345902","2014年09月",""
"p12306","29641","2013年10月",""
"p12306","485053","2014年09月",""
"p12439","100540689","2015年05月",""
"p12439","1635963","2015年05月",""
"p12669","88850048","2015年01月",""
"p12669","1036565","2015年01月",""
"p12899","635338","2014年11月",""
"p12899","635307","2014年11月",""
"p13066","106037576","2015年08月",""
"p13066","2274639","2015年08月",""
"p13581","84960543","2014年12月",""
"p13581","835086","2014年12月",""
"p13905","88910172","2014年11月",""
"p13905","88909919","2014年11月",""
"p13905","88909626","2014年11月",""
"p13905","88910479","2014年11月",""
"p13905","88910732","2014年11月",""
"p13905","88908839","2014年11月",""
"p13905","88909394","2014年11月",""
"p13905","88908487","2014年11月",""
"p13905","88909086","2014年11月",""
"p13905","676227","2014年11月",""
"p13905","676265","2014年11月",""
"p13905","676295","2014年11月",""
"p13905","676154","2014年11月",""
"p13905","676326","2014年11月",""
"p13905","676194","2014年11月",""
"p13905","676076","2014年11月",""
"p13905","676116","2014年11月",""
"p13905","676041","2014年11月",""
"p14474","2122998","2015年07月",""
"p14495","94101717","2015年05月",""
"p14495","1676077","2015年05月",""
"p15601","103800040","2015年08月",""
"p15601","103800040","2015年08月",""
"p15601","2273262","2015年08月",""
"p15995","90066524","2014年12月",""
"p15995","790342","2014年12月",""
"p16217","100534955","2015年06月",""
"p16217","87773661","2014年12月",""
"p16217","1887537","2015年06月",""
"p16217","910933","2014年12月",""
"p16604","103724058","2015年07月",""
"p16604","1932195","2015年07月",""
"p16874","102942212","2015年06月",""
"p16874","102942212","2015年06月",""
"p16874","101552779","2015年05月",""
"p16874","1838529","2015年06月",""
"p16874","1675992","2015年05月",""
"p17576","98670904","2015年05月",""
"p17576","98672971","2015年05月",""
"p17576","88884503","2015年08月",""
"p17576","101822640","2015年07月",""
"p17576","700410854","2015年05月",""
"p17576","103037203","2015年07月",""
"p17576","700410855","2015年05月",""
"p17576","2149876","2015年08月",""
"p17576","2149872","2015年08月",""
"p17576","2007675","2015年07月",""
"p17576","2001283","2015年07月",""
"p17576","1624351","2015年05月",""
"p17576","1624409","2015年05月",""
"p17748","105772876","2015年08月",""
"p17748","2233345","2015年08月",""
"p17942","658893","2014年11月","2015-07"
"p18629","79481989","2015年01月",""
"p18629","1123435","2015年01月",""
"p19524","67440252","2013年10月",""
"p19524","35229","2013年10月",""
"p19619","81225179","2014年12月",""
"p19619","839548","2014年12月",""
"p20725","2052477","2015年07月",""
"p20885","1610786","2015年08月",""
"p21371","92470558","2015年06月",""
"p21371","92467123","2015年06月",""
"p21371","1723998","2015年06月",""
"p21371","1723967","2015年06月",""
"p21660","103736622","2015年07月",""
"p21660","1933417","2015年07月",""
"p21721","1550788","2015年05月",""
"p22025","1670787","2015年06月",""
"p22715","74992667","2015年06月",""
"p22715","1754913","2015年06月",""
"p23328","11455935","2015年01月",""
"p23328","989389","2015年01月",""
"p23664","104540760","2015年08月",""
"p23664","104540764","2015年08月",""
"p23664","2285948","2015年08月",""
"p23664","2285939","2015年08月",""
"p24680","1943767","2015年07月",""
"p24680","1943771","2015年07月",""
"p25264","98329239","2015年08月",""
"p25264","2169297","2015年08月",""
"p25298","68923270","2014年01月",""
"p25298","67802","2014年01月",""
"p25607","92090821","2015年01月",""
"p25607","966661","2015年01月",""
"p25780","103116238","2015年08月",""
"p25780","2189286","2015年08月",""
"p26775","210429","2014年07月",""
"p27696","1299584","2015年03月",""
"p29863","60509402","2013年10月",""
"p29863","81846610","2015年08月",""
"p29863","2248423","2015年08月",""
"p29863","2180589","2015年08月",""
"p29863","20533","2013年10月",""
"p30157","673404","2014年11月",""
"p30201","102281454","2015年06月",""
"p30201","1771382","2015年06月",""
"p30516","1736890","2015年06月",""
"p30790","101001419","2015年08月",""
"p30790","84129255","2014年08月",""
"p30790","101001421","2015年08月",""
"p30790","101001423","2015年08月",""
"p30790","84129398","2014年08月",""
"p30790","101001416","2015年08月",""
"p30790","101001408","2015年08月",""
"p30790","84097508","2014年08月",""
"p30790","105997103","2015年08月",""
"p30790","84129265","2014年08月",""
"p30790","84129271","2014年08月",""
"p30790","101001413","2015年08月",""
"p30790","84129259","2014年08月",""
"p30790","2252993","2015年08月",""
"p30790","2252995","2015年08月",""
"p30790","2252989","2015年08月",""
"p30790","2252997","2015年08月",""
"p30790","2252991","2015年08月",""
"p30790","2252988","2015年08月",""
"p30790","2252986","2015年08月",""
"p30790","244242","2014年08月",""
"p30790","244405","2014年08月",""
"p30790","244434","2014年08月",""
"p30790","244393","2014年08月",""
"p30790","244428","2014年08月",""
"p30790","244419","2014年08月",""
"p31075","96118015","2015年08月",""
