EID,TARGET,ENDDATE
"p1",0,""
"p100000",0,""
"p100002",0,""
"p100004",0,""
"p100005",0,""
"p100007",0,""
"p100008",0,""
"p100012",0,""
"p100015",0,""
"p100016",0,""
"p100017",0,""
"p100018",0,""
"p100020",0,""
"p100021",0,""
"p100022",0,""
"p100024",0,""
"p100026",1,"201512"
"p100031",0,""
"p100032",0,""
"p100036",0,""
"p100038",0,""
"p100039",0,""
"p10004",0,""
"p100040",0,""
"p100044",0,""
"p100047",0,""
"p100048",1,"201602"
"p100049",0,""
"p100052",0,""
"p100053",0,""
"p100055",0,""
"p100059",1,"201606"
"p10006",0,""
"p100060",1,"201604"
"p100065",0,""
"p100069",0,""
"p10007",0,""
"p100070",0,""
"p100074",1,"201607"
"p100075",0,""
"p100076",0,""
"p100079",0,""
"p100081",0,""
"p100082",0,""
"p100084",0,""
"p100086",0,""
"p100088",0,""
"p10009",1,"201707"
"p100090",0,""
"p100093",0,""
"p100095",0,""
"p100097",0,""
"p100099",0,""
"p1001",1,"201607"
"p10010",0,""
"p100100",0,""
"p100102",0,""
"p100103",0,""
"p100104",0,""
"p100109",0,""
"p10011",0,""
"p100110",0,""
"p100112",0,""
"p100113",0,""
"p100115",0,""
"p100117",0,""
"p10012",1,"201707"
"p100120",0,""
"p100122",0,""
"p100123",0,""
"p100126",0,""
"p100127",0,""
"p100128",0,""
"p100129",1,"201606"
"p100132",0,""
"p100133",0,""
"p100134",0,""
"p100135",0,""
"p100137",0,""
"p100139",0,""
"p100141",0,""
"p100142",0,""
"p100143",0,""
"p100144",0,""
"p100146",0,""
"p100147",0,""
"p10015",0,""
"p100153",0,""
"p100156",0,""
"p10016",0,""
"p100161",0,""
"p100163",0,""
"p100165",0,""
"p100166",1,"201707"
"p100167",0,""
"p10017",0,""
"p100176",0,""
"p100177",0,""
"p10018",0,""
"p100180",0,""
"p100183",0,""
"p100184",0,""
"p100185",0,""
"p100187",0,""
"p100188",0,""
"p100189",0,""
"p10019",0,""
"p100190",0,""
"p100191",0,""
"p100193",0,""
"p100198",0,""
"p10020",0,""
"p100201",0,""
"p100202",0,""
"p100205",0,""
"p100206",0,""
"p100207",1,"201605"
"p100208",0,""
"p100212",1,"201603"
"p100214",1,"201611"
"p100215",1,"201707"
"p10022",0,""
"p100220",0,""
"p100222",0,""
"p100223",1,"201512"
"p100225",0,""
"p100227",0,""
"p100234",0,""
"p100240",0,""
"p100241",0,""
"p100244",0,""
"p100245",0,""
"p100246",0,""
"p100251",0,""
"p100253",0,""
"p100256",0,""
"p100258",0,""
"p100261",0,""
"p100263",0,""
"p100265",0,""
"p100266",1,"201512"
"p100267",0,""
"p100269",0,""
"p100270",1,"201607"
"p100273",0,""
"p100274",0,""
"p100275",0,""
"p100276",0,""
"p100277",0,""
"p100280",0,""
"p100281",0,""
"p100282",0,""
"p100283",0,""
"p100285",0,""
"p100286",0,""
"p100289",0,""
"p100295",1,"201609"
"p100299",0,""
"p100304",0,""
"p100306",0,""
"p100307",1,"201707"
"p100309",0,""
"p100310",0,""
"p100312",0,""
"p100314",0,""
"p100316",0,""
"p100317",1,"201707"
"p100318",0,""
"p100319",0,""
"p100322",0,""
"p100323",0,""
"p100324",0,""
"p100326",0,""
"p100327",0,""
"p100329",1,"201607"
"p10033",0,""
"p100331",0,""
"p100332",0,""
"p100333",1,"201607"
"p100334",0,""
"p100335",0,""
"p100337",0,""
"p100338",0,""
"p100340",1,"201708"
"p100344",1,"201607"
"p100345",0,""
"p100347",1,"201607"
"p100348",1,"201612"
"p100349",0,""
"p10035",0,""
"p100352",1,"201703"
"p100354",0,""
"p100355",0,""
"p10036",0,""
"p100360",0,""
"p100361",0,""
"p100362",0,""
"p100364",1,"201509"
"p100365",0,""
"p100366",1,"201704"
"p100367",0,""
"p100369",0,""
"p100379",0,""
"p100381",0,""
"p100383",0,""
"p100384",0,""
"p100385",0,""
"p100388",0,""
"p10039",0,""
"p100390",0,""
"p100391",0,""
"p100392",0,""
"p100394",0,""
"p100395",0,""
"p100398",0,""
"p100401",0,""
"p100404",0,""
"p100407",0,""
"p10041",0,""
"p100411",0,""
"p100414",0,""
"p100418",1,"201605"
"p100419",0,""
"p10042",1,"201701"
"p100420",0,""
"p100421",1,"201707"
"p100424",0,""
"p100429",0,""
"p100430",0,""
"p100432",0,""
"p100435",0,""
"p100436",0,""
"p100437",0,""
"p100438",1,"201607"
"p100439",0,""
"p10044",0,""
"p100442",0,""
"p100443",0,""
"p100445",0,""
"p100447",0,""
"p100450",0,""
"p100451",0,""
"p100455",0,""
"p10046",0,""
"p100460",0,""
"p100463",1,"201607"
"p100469",0,""
"p10047",0,""
"p100472",0,""
"p100478",0,""
"p10048",0,""
"p100480",0,""
"p100481",0,""
"p100483",0,""
"p100487",0,""
"p100489",0,""
"p100490",0,""
"p100492",0,""
"p100494",0,""
"p100495",0,""
"p100496",0,""
"p100497",0,""
"p100498",0,""
"p1005",0,""
"p100500",0,""
"p100504",0,""
"p100505",0,""
"p100506",1,"201608"
"p100508",0,""
"p10051",0,""
"p100514",1,"201611"
"p100519",1,"201607"
"p100521",0,""
"p100528",0,""
"p100529",1,"201607"
"p100530",0,""
"p100531",0,""
"p100532",1,"201706"
"p100533",0,""
"p100534",0,""
"p100535",0,""
"p100536",0,""
"p100538",0,""
"p100539",0,""
"p100542",0,""
"p100543",1,"201707"
"p100544",0,""
"p10055",0,""
"p100550",0,""
"p100551",0,""
"p10056",1,"201702"
"p100563",1,"201704"
"p100564",0,""
"p100565",0,""
"p10057",0,""
"p100572",0,""
"p100573",1,"201512"
"p100576",1,"201706"
"p100579",1,"201607"
"p100580",0,""
"p100582",1,"201707"
"p100583",1,"201602"
"p100586",0,""
"p100587",0,""
"p100589",1,"201706"
"p100592",0,""
"p100593",0,""
"p100594",0,""
"p100597",0,""
"p100599",0,""
"p10060",0,""
"p100602",0,""
"p100605",0,""
"p100606",0,""
"p100607",0,""
"p10061",0,""
